InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
538365,22469,HEART OF WICKER SMALL,8,12/12/2010 10:11,1.65,17243,United Kingdom
538365,84030E,ENGLISH ROSE HOT WATER BOTTLE,1,12/12/2010 10:11,4.25,17243,United Kingdom
538365,22112,CHOCOLATE HOT WATER BOTTLE,3,12/12/2010 10:11,4.95,17243,United Kingdom
538365,22835,HOT WATER BOTTLE I AM SO POORLY,5,12/12/2010 10:11,4.65,17243,United Kingdom
538365,84029E,RED WOOLLY HOTTIE WHITE HEART.,4,12/12/2010 10:11,3.75,17243,United Kingdom
538365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,9,12/12/2010 10:11,3.75,17243,United Kingdom
538365,84030E,ENGLISH ROSE HOT WATER BOTTLE,3,12/12/2010 10:11,4.25,17243,United Kingdom
538365,22111,SCOTTIE DOG HOT WATER BOTTLE,2,12/12/2010 10:11,4.95,17243,United Kingdom
538365,84997A,GREEN 3 PIECE POLKADOT CUTLERY SET,4,12/12/2010 10:11,3.75,17243,United Kingdom
538365,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,3,12/12/2010 10:11,3.75,17243,United Kingdom
538365,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,9,12/12/2010 10:11,3.75,17243,United Kingdom
538365,22314,OFFICE MUG WARMER CHOC+BLUE,12,12/12/2010 10:11,2.95,17243,United Kingdom
538365,22932,BAKING MOULD TOFFEE CUP CHOCOLATE,8,12/12/2010 10:11,2.55,17243,United Kingdom
538365,22930,BAKING MOULD HEART MILK CHOCOLATE,8,12/12/2010 10:11,2.55,17243,United Kingdom
538365,17091A,LAVENDER INCENSE IN TIN,6,12/12/2010 10:11,1.25,17243,United Kingdom
538365,17091J,VANILLA INCENSE IN TIN,6,12/12/2010 10:11,1.25,17243,United Kingdom
538365,21755,LOVE BUILDING BLOCK WORD,2,12/12/2010 10:11,5.95,17243,United Kingdom
538365,21755,LOVE BUILDING BLOCK WORD,2,12/12/2010 10:11,5.95,17243,United Kingdom
538365,82483,WOOD 2 DRAWER CABINET WHITE FINISH,6,12/12/2010 10:11,5.95,17243,United Kingdom
538365,21034,REX CASH+CARRY JUMBO SHOPPER,1,12/12/2010 10:11,0.95,17243,United Kingdom
538366,22169,FAMILY ALBUM WHITE PICTURE FRAME,15,12/12/2010 10:47,7.65,18109,United Kingdom
538366,21259,VICTORIAN SEWING BOX SMALL ,6,12/12/2010 10:47,5.95,18109,United Kingdom
538366,22835,HOT WATER BOTTLE I AM SO POORLY,2,12/12/2010 10:47,4.65,18109,United Kingdom
538366,84030E,ENGLISH ROSE HOT WATER BOTTLE,1,12/12/2010 10:47,4.25,18109,United Kingdom
538366,22469,HEART OF WICKER SMALL,5,12/12/2010 10:47,1.65,18109,United Kingdom
538366,85066,CREAM SWEETHEART MINI CHEST,6,12/12/2010 10:47,12.75,18109,United Kingdom
538366,22667,RECIPE BOX RETROSPOT ,9,12/12/2010 10:47,2.95,18109,United Kingdom
538367,20725,LUNCH BAG RED RETROSPOT,10,12/12/2010 10:48,1.65,14800,United Kingdom
538367,20727,LUNCH BAG  BLACK SKULL.,10,12/12/2010 10:48,1.65,14800,United Kingdom
538367,85071A,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,1,12/12/2010 10:48,2.95,14800,United Kingdom
538367,85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,1,12/12/2010 10:48,2.95,14800,United Kingdom
538367,85071A,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,2,12/12/2010 10:48,2.95,14800,United Kingdom
538367,85071D,CHARLIE+LOLA MY ROOM DOOR SIGN,2,12/12/2010 10:48,2.55,14800,United Kingdom
